Count_point_id,hour,Total_Emissions_60s,Hour,Green_Time,Total_Emissions_Optimized,Emission_Reduction,Longitude,Latitude
6001,7,67774.0,7,120,135548.0,-67774.0,-0.26531515,51.634686
6001,8,56580.0,8,120,113160.0,-56580.0,-0.26531515,51.634686
6001,9,46973.0,9,46,36012.63333333334,10960.36666666666,-0.26531515,51.634686
6001,17,58288.0,17,7,6800.266666666666,51487.73333333334,-0.26531515,51.634686
6001,18,53299.0,18,7,6218.216666666667,47080.78333333333,-0.26531515,51.634686
6013,7,198001.0,7,120,396002.0,-198001.0,-0.43272165,51.494065
6013,8,165116.0,8,7,19263.533333333333,145852.46666666667,-0.43272165,51.494065
6013,9,164912.0,9,7,19239.733333333334,145672.26666666666,-0.43272165,51.494065
6013,17,177917.0,17,120,355834.0,-177917.0,-0.43272165,51.494065
6013,18,162455.0,18,46,124548.83333333334,37906.16666666666,-0.43272165,51.494065
6071,7,63228.0,7,7,7376.6,55851.4,-0.009866,51.518227
6071,8,57580.0,8,53,50862.33333333333,6717.666666666672,-0.009866,51.518227
6071,9,49518.0,9,7,5777.1,43740.9,-0.009866,51.518227
6071,17,50551.0,17,120,101102.0,-50551.0,-0.009866,51.518227
6071,18,49452.0,18,113,93134.6,-43682.59999999999,-0.009866,51.518227
6075,7,22451.0,7,7,2619.2833333333333,19831.716666666667,-0.11753943,51.556604
6075,8,22752.0,8,7,2654.4,20097.6,-0.11753943,51.556604
6075,9,22927.0,9,7,2674.8166666666666,20252.18333333333,-0.11753943,51.556604
6075,17,23899.0,17,99,39433.35,-15534.35,-0.11753943,51.556604
6075,18,26992.0,18,7,3149.0666666666666,23842.93333333333,-0.11753943,51.556604
6076,7,159414.0,7,7,18598.3,140815.7,-0.20425698,51.589077
6076,8,159440.0,8,7,18601.33333333333,140838.66666666666,-0.20425698,51.589077
6076,9,155471.0,9,7,18138.283333333333,137332.71666666667,-0.20425698,51.589077
6076,17,161655.0,17,7,18859.75,142795.25,-0.20425698,51.589077
6076,18,142286.0,18,7,16600.033333333333,125685.96666666667,-0.20425698,51.589077
6096,7,26086.0,7,7,3043.366666666667,23042.63333333333,0.023078346,51.474498
6096,8,25743.0,8,7,3003.35,22739.65,0.023078346,51.474498
6096,9,28529.0,9,7,3328.383333333333,25200.61666666667,0.023078346,51.474498
6096,17,32217.0,17,120,64434.0,-32217.0,0.023078346,51.474498
6096,18,30222.0,18,120,60444.0,-30222.0,0.023078346,51.474498
6097,7,92430.0,7,7,10783.5,81646.5,0.15709791,51.446029
6097,8,78051.0,8,7,9105.95,68945.05,0.15709791,51.446029
6097,9,75542.0,9,16,20144.533333333333,55397.46666666667,0.15709791,51.446029
6097,17,85099.0,17,120,170198.0,-85099.0,0.15709791,51.446029
6097,18,80827.0,18,120,161654.0,-80827.0,0.15709791,51.446029
6107,7,13590.0,7,7,1585.5,12004.5,-0.095379388,51.499998
6107,8,15898.0,8,7,1854.7666666666669,14043.233333333334,-0.095379388,51.499998
6107,9,14051.0,9,30,7025.5,7025.5,-0.095379388,51.499998
6107,17,14291.0,17,107,25485.61666666667,-11194.616666666669,-0.095379388,51.499998
6107,18,15770.0,18,25,6570.833333333334,9199.166666666666,-0.095379388,51.499998
6108,7,15063.0,7,7,1757.35,13305.65,-0.10893855,51.485694
6108,8,15485.0,8,7,1806.5833333333333,13678.416666666666,-0.10893855,51.485694
6108,9,13177.0,9,7,1537.3166666666666,11639.683333333334,-0.10893855,51.485694
6108,17,17071.0,17,7,1991.6166666666668,15079.383333333331,-0.10893855,51.485694
6108,18,16623.0,18,7,1939.35,14683.65,-0.10893855,51.485694
6121,7,66239.0,7,12,13247.8,52991.2,-0.18635756,51.494741
6121,8,70638.0,8,7,8241.1,62396.9,-0.18635756,51.494741
6121,9,69878.0,9,7,8152.433333333333,61725.566666666666,-0.18635756,51.494741
6121,17,60227.0,17,7,7026.483333333334,53200.51666666666,-0.18635756,51.494741
6121,18,68551.0,18,7,7997.616666666667,60553.38333333333,-0.18635756,51.494741
6122,7,37145.0,7,46,28477.833333333336,8667.166666666664,-0.28441506,51.49217
6122,8,37699.0,8,7,4398.216666666667,33300.78333333333,-0.28441506,51.49217
6122,9,33909.0,9,7,3956.05,29952.95,-0.28441506,51.49217
6122,17,40187.0,17,120,80374.0,-40187.0,-0.28441506,51.49217
6122,18,38946.0,18,120,77892.0,-38946.0,-0.28441506,51.49217
6268,7,28845.0,7,46,22114.5,6730.5,-0.11871085,51.367148
6268,8,26712.0,8,7,3116.4,23595.6,-0.11871085,51.367148
6268,9,25096.0,9,7,2927.866666666667,22168.13333333333,-0.11871085,51.367148
6268,17,29969.0,17,120,59938.0,-29969.0,-0.11871085,51.367148
6268,18,27861.0,18,120,55722.0,-27861.0,-0.11871085,51.367148
6429,7,183676.0,7,7,21428.86666666667,162247.13333333333,-0.3576594,51.538404
6429,8,183056.0,8,120,366112.0,-183056.0,-0.3576594,51.538404
6429,9,177704.0,9,120,355408.0,-177704.0,-0.3576594,51.538404
6429,17,197367.0,17,7,23026.15,174340.85,-0.3576594,51.538404
6429,18,184310.0,18,7,21502.83333333333,162807.16666666666,-0.3576594,51.538404
6458,7,102951.0,7,7,12010.95,90940.05,-0.2121021,51.5731
6458,8,98190.0,8,7,11455.5,86734.5,-0.2121021,51.5731
6458,9,96037.0,9,7,11204.316666666668,84832.68333333333,-0.2121021,51.5731
6458,17,108118.0,17,120,216236.0,-108118.0,-0.2121021,51.5731
6458,18,104634.0,18,120,209268.0,-104634.0,-0.2121021,51.5731
6638,7,12391.0,7,7,1445.6166666666668,10945.383333333331,-0.1206842,51.602785
6638,8,11875.0,8,12,2375.0,9500.0,-0.1206842,51.602785
6638,9,13785.0,9,60,13785.0,0.0,-0.1206842,51.602785
6638,17,12861.0,17,120,25722.0,-12861.0,-0.1206842,51.602785
6638,18,14471.0,18,101,24359.516666666663,-9888.516666666666,-0.1206842,51.602785
6640,7,17149.0,7,7,2000.7166666666667,15148.283333333333,-0.050224146,51.64873
6640,8,18607.0,8,7,2170.8166666666666,16436.183333333334,-0.050224146,51.64873
6640,9,18704.0,9,7,2182.133333333333,16521.86666666667,-0.050224146,51.64873
6640,17,18043.0,17,7,2105.016666666667,15937.983333333334,-0.050224146,51.64873
6640,18,19022.0,18,7,2219.2333333333336,16802.766666666666,-0.050224146,51.64873
6751,7,14606.0,7,90,21909.0,-7303.0,-0.10420679,51.512955
6751,8,16754.0,8,92,25689.466666666667,-8935.466666666667,-0.10420679,51.512955
6751,9,14250.0,9,61,14487.5,-237.5,-0.10420679,51.512955
6751,17,15865.0,17,7,1850.9166666666667,14014.083333333334,-0.10420679,51.512955
6751,18,15421.0,18,7,1799.1166666666668,13621.883333333331,-0.10420679,51.512955
6752,7,18547.0,7,7,2163.8166666666666,16383.183333333334,-0.057607087,51.473435
6752,8,17302.0,8,7,2018.5666666666664,15283.433333333334,-0.057607087,51.473435
6752,9,15191.0,9,7,1772.2833333333333,13418.716666666667,-0.057607087,51.473435
6752,17,19022.0,17,106,33605.53333333333,-14583.533333333333,-0.057607087,51.473435
6752,18,20526.0,18,33,11289.3,9236.7,-0.057607087,51.473435
6755,7,31332.0,7,7,3655.4,27676.6,0.032112517,51.450961
6755,8,27074.0,8,43,19403.033333333333,7670.966666666667,0.032112517,51.450961
6755,9,25693.0,9,7,2997.516666666667,22695.483333333334,0.032112517,51.450961
6755,17,29696.0,17,120,59392.0,-29696.0,0.032112517,51.450961
6755,18,28571.0,18,7,3333.2833333333333,25237.716666666667,0.032112517,51.450961
6756,7,22667.0,7,39,14733.55,7933.449999999999,-0.059002871,51.440544
6756,8,19354.0,8,14,4515.933333333333,14838.066666666666,-0.059002871,51.440544
6756,9,18727.0,9,7,2184.8166666666666,16542.183333333334,-0.059002871,51.440544
6756,17,22836.0,17,120,45672.0,-22836.0,-0.059002871,51.440544
6756,18,21777.0,18,120,43554.0,-21777.0,-0.059002871,51.440544
6774,7,13007.0,7,120,26014.0,-13007.0,-0.18017702,51.432866
6774,8,16511.0,8,15,4127.75,12383.25,-0.18017702,51.432866
6774,9,14342.0,9,15,3585.5,10756.5,-0.18017702,51.432866
6774,17,16994.0,17,7,1982.6333333333332,15011.366666666669,-0.18017702,51.432866
6774,18,16777.0,18,7,1957.3166666666664,14819.683333333334,-0.18017702,51.432866
6886,7,17425.0,7,7,2032.9166666666667,15392.083333333334,-0.36216101,51.412889
6886,8,15628.0,8,7,1823.2666666666669,13804.733333333334,-0.36216101,51.412889
6886,9,14531.0,9,7,1695.2833333333333,12835.716666666667,-0.36216101,51.412889
6886,17,16709.0,17,105,29240.75,-12531.75,-0.36216101,51.412889
6886,18,14969.0,18,106,26445.233333333334,-11476.233333333334,-0.36216101,51.412889
6902,7,27545.0,7,46,21117.833333333336,6427.166666666664,-0.27370181,51.4707
6902,8,21977.0,8,7,2563.9833333333336,19413.016666666663,-0.27370181,51.4707
6902,9,22382.0,9,120,44764.0,-22382.0,-0.27370181,51.4707
6902,17,26167.0,17,120,52334.0,-26167.0,-0.27370181,51.4707
6902,18,26556.0,18,7,3098.2000000000003,23457.8,-0.27370181,51.4707
7045,7,17518.0,7,7,2043.7666666666669,15474.233333333334,-0.22057555,51.503898
7045,8,20805.0,8,7,2427.25,18377.75,-0.22057555,51.503898
7045,9,20522.0,9,7,2394.2333333333336,18127.766666666663,-0.22057555,51.503898
7045,17,27273.0,17,7,3181.85,24091.15,-0.22057555,51.503898
7045,18,28251.0,18,7,3295.9500000000003,24955.05,-0.22057555,51.503898
7050,7,17291.0,7,7,2017.2833333333333,15273.716666666667,-0.33747067,51.578
7050,8,18309.0,8,111,33871.65,-15562.65,-0.33747067,51.578
7050,9,19188.0,9,51,16309.8,2878.2000000000007,-0.33747067,51.578
7050,17,20160.0,17,22,7391.999999999999,12768.0,-0.33747067,51.578
7050,18,19665.0,18,109,35724.75,-16059.75,-0.33747067,51.578
7055,7,175028.0,7,7,20419.93333333333,154608.06666666665,-0.27591674,51.541773
7055,8,165635.0,8,7,19324.08333333333,146310.91666666666,-0.27591674,51.541773
7055,9,164457.0,9,120,328914.0,-164457.0,-0.27591674,51.541773
